object_id,object_name,description,unit,canonical_id,canonical_label,kind,subsystem,control_role,application,schema_slot_id,fdv_role,in_mpc_control,in_u_meas,in_eval,catalog_only
AV-16,320.003RT402_MAX,Kompenseringskurve Y4 Regulert Verdi,degrees-celsius,district.tr003.comp.max,TR003 commercial — Compensation curve Y4 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR003 næring tur,0,0,0,0
AV-17,320.003RT402_MIN,Kompenseringskurve Y1 Regulert Verdi,degrees-celsius,district.tr003.comp.min,TR003 commercial — Compensation curve Y1 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR003 næring tur,0,0,0,0
AI-11,320.003RT402_MV,Temperatur turvann,degrees-celsius,district.tr003.supply.temp,Tur temperatur TR003 næring,measured_state,district_heating,plant_measurement,mpc_plant,,TR003 næring tur,0,0,1,0
AV-20,320.003RT402_SPF,Settpunktforstilling,degrees-celsius,district.tr003.comp.spf,TR003 commercial — Compensation curve setpoint bias,derived_state,district_heating,bms_configuration,mpc_context,,TR003 næring tur,0,0,0,0
AV-25,320.003RT402_SPK,Settpunkt kalkulert,degrees-celsius,district.tr003.supply.setpoint,Beregnet tur-SP TR003 næring,derived_state,district_heating,plant_measurement,mpc_plant,,Settpunkt tur næring (TR003),0,0,1,0
AV-18,320.003RT402_VKH,Kompenseringskurve X3 Kompenserende Verdi,degrees-celsius,district.tr003.comp.x3,TR003 commercial — Compensation curve X3 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR003 næring tur,0,0,0,0
AV-22,320.003RT402_VKHH,Kompenseringskurve X4 Kompenserende Verdi,degrees-celsius,district.tr003.comp.x4,TR003 commercial — Compensation curve X4 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR003 næring tur,0,0,0,0
AV-19,320.003RT402_VKL,Kompenseringskurve X2 Kompenserende Verdi,degrees-celsius,district.tr003.comp.x2,TR003 commercial — Compensation curve X2 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR003 næring tur,0,0,0,0
AV-21,320.003RT402_VKLL,Kompenseringskurve X1 Kompenserende Verdi,degrees-celsius,district.tr003.comp.x1,TR003 commercial — Compensation curve X1 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR003 næring tur,0,0,0,0
AV-23,320.003RT402_VPKH,Kompenseringskurve Y3 Regulert Verdi,degrees-celsius,district.tr003.comp.y3,TR003 commercial — Compensation curve Y3 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR003 næring tur,0,0,0,0
AV-24,320.003RT402_VPKL,Kompenseringskurve Y2 Regulert Verdi,degrees-celsius,district.tr003.comp.y2,TR003 commercial — Compensation curve Y2 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR003 næring tur,0,0,0,0
AI-19,320.003RT502_MV,Temperatur returvann,degrees-celsius,district.tr003.return.temp,Retur temperatur TR003 næring,measured_state,district_heating,plant_measurement,mpc_plant,,Temperatur returvann,0,0,1,0
AO-3,320.003SB502_C,Varmeventil,percent,district.tr003.valve.command,Pådrag varmeventil TR003 næring,control,district_heating,district_actuator,district_actuator,,TR003 næring ventil,1,0,1,0
AI-7,320001OE001_effekt,Effekt,kilowatts,district.meter.tr002.power,Effekt TR002 (OE001 bolig),measured_state,district_heating,plant_measurement,mpc_plant,,Fjernvarmemåler bolig (WM001),0,0,1,0
AI-5,320001OE001_energi,Energi akkumulert,kilowatt-hours,district.meter.tr002.energy,Akkumulert energi TR002 (OE001 bolig),measured_state,district_heating,plant_measurement,mpc_plant,,Fjernvarmemåler bolig (WM001),0,0,1,0
AI-8,320001OE001_flow,Flow,cubic-meters-per-hour,,,unmapped,,,out_of_scope,,Fjernvarmemåler bolig (WM001),0,0,0,0
AI-10,320001OE001_returtemp,Returtemperatur,degrees-celsius,district.meter.tr002.return.temp,Retur TR002 primær (OE001 bolig),measured_state,district_heating,plant_measurement,mpc_plant,,Fjernvarmemåler bolig (WM001),0,0,1,0
AI-9,320001OE001_turtemp,Turtemperatur,degrees-celsius,district.meter.tr002.supply.temp,Tur TR002 primær (OE001 bolig),measured_state,district_heating,plant_measurement,mpc_plant,,Fjernvarmemåler bolig (WM001),0,0,1,0
AI-6,320001OE001_volum,Volum,cubic-meters,,,unmapped,,,out_of_scope,,Fjernvarmemåler bolig (WM001),0,0,0,0
AI-14,320003OE001_effekt,Effekt,kilowatts,district.meter.tr003.power,Effekt TR003 (OE001 næring),measured_state,district_heating,plant_measurement,mpc_plant,,Fjernvarmemåler næring (WM001),0,0,1,0
AI-12,320003OE001_energi,Energi akkumulert,kilowatt-hours,district.meter.tr003.energy,Akkumulert energi TR003 (OE001 næring),measured_state,district_heating,plant_measurement,mpc_plant,,Fjernvarmemåler næring (WM001),0,0,1,0
AI-15,320003OE001_flow,Flow,cubic-meters-per-hour,,,unmapped,,,out_of_scope,,Fjernvarmemåler næring (WM001),0,0,0,0
AI-17,320003OE001_returtemp,Returtemperatur,degrees-celsius,district.meter.tr003.return.temp,Retur TR003 primær (OE001 næring),measured_state,district_heating,plant_measurement,mpc_plant,,Fjernvarmemåler næring (WM001),0,0,1,0
AI-16,320003OE001_turtemp,Turtemperatur,degrees-celsius,district.meter.tr003.supply.temp,Tur TR003 primær (OE001 næring),measured_state,district_heating,plant_measurement,mpc_plant,,Fjernvarmemåler næring (WM001),0,0,1,0
AI-13,320003OE001_volum,Volum,cubic-meters,,,unmapped,,,out_of_scope,,Fjernvarmemåler næring (WM001),0,0,0,0
AI-20,362.001RT601_MV,Romtemperatur,degrees-celsius,,,unmapped,,,out_of_scope,,Heissjakt temperatur,0,0,0,0
BI-4,542.001UK001_A,Tekninsk feil brannsentral,,,,unmapped,,,out_of_scope,,Brannsentral signal,0,0,0,0
