hour_utc,electricity_kwh,district_heating_kwh,total_cost_kr
2026-07-03T05:00:00.000Z,2.180000066757202,2,2.927522089648247
2026-07-03T06:00:00.000Z,3.243000030517578,3,3.857872836303711
2026-07-03T07:00:00.000Z,3.190000057220459,2,3.258904058456421
2026-07-03T08:00:00.000Z,3.255000114440918,2,3.04830760717392
2026-07-03T09:00:00.000Z,3.196000099182129,3,2.966527292060852
2026-07-03T10:00:00.000Z,3.3259999752044678,2,2.8440625787973404
2026-07-03T11:00:00.000Z,3.2190001010894775,3,2.6640444836616517
2026-07-03T12:00:00.000Z,3.1730000972747803,3,2.591389179444313
2026-07-03T13:00:00.000Z,3.6489999294281006,2,2.933795943260193
2026-07-03T14:00:00.000Z,1.1859999895095825,3,0.9482069916129112
2026-07-03T15:00:00.000Z,1.1469999551773071,2,1.0138332603812217
2026-07-03T16:00:00.000Z,1.187000036239624,3,1.1906797363519668
2026-07-03T17:00:00.000Z,1.1629999876022339,3,1.4320018847346305
2026-07-03T18:00:00.000Z,1.1410000324249268,2,1.4260218405246736
2026-07-03T19:00:00.000Z,1.1959999799728394,3,1.4332863759994505
2026-07-03T20:00:00.000Z,0,4,0
2026-07-03T21:00:00.000Z,0,3,0
